ISIN;Wertpapiername;Stück/Nominale
US0028241000;ABBOTT LABS;120
US00724F1012;ADOBE INC.;35
US0079031078;ADVANCED MIC.DEV.  DL-,01;260
US0162551016;ALIGN TECHNOLOGY DL-,0001;45
DE0008404005;ALLIANZ SE NA O.N.;100
US02079K1079;ALPHABET INC.CL C DL-,001;30
US0231351067;AMAZON.COM INC.    DL-,01;20
US0378331005;APPLE INC.;520
US0382221051;APPLIED MATERIALS INC.;130
US04342Y1047;ASANA INC. CL.A O.N.;150
NL0010273215;ASML HOLDING    EO -,09;25
GB00BZ09BD16;ATLASSIAN CORP. A DL -,10;80
US0527691069;AUTODESK INC.;50
US0567521085;BAIDU A ADR DL-,000000625;35
CA0585861085;BALLARD PWR SYS;500
CH0038389992;BB BIOTECH NAM.   SF 0,20;1.200
US07373V1052;BEAM THERAPEUTICS  DL-,01;50
US08862E1091;BEYOND MEAT INC.;70
US09075V1026;BIONTECH SE SPON. ADRS 1;100
US11135F1012;BROADCOM INC.     DL-,001;30
US12047B1052;BUMBLE INC. CL.A  DL -,01;150
CNE100000296;BYD CO. LTD H        YC 1;800
DE0005313704;CARL ZEISS MEDITEC AG;170
US19260Q1076;COINBASE GLB.CL.A -,00001;40
CH0334081137;CRISPR THERAPEUT. SF -,03;100
DE0006095003;ENCAVIS AG  INH. O.N.;1.500
US29355A1079;ENPHASE ENERGY INC.DL-,01;120
FR0014000MR3;EUROFINS SCI.INH.EO 0,01;100
US30063P1057;EXACT SCIEN.       DL-,01;70
US30303M1027;FACEBOOK INC.A DL-,000006;100
DE000A161408;HELLOFRESH SE  INH O.N.;600
US4523271090;ILLUMINA INC.      DL-,01;36
DE0006231004;INFINEON TECH.AG NA O.N.;550
US46120E6023;INTUITIVE SURGIC. DL-,001;60
US46185L1035;INVITAE CORP.    DL-,0001;250
US47759T1007;JINKOSOLAR ADR/4 DL-00002;180
DE000LS9HXM7;LANG+SCHWARZ O.E. INDEX;35
DE000LS9PBC7;LANG+SCHWARZ O.E. INDEX;65
DE000LS9PWA7;LANG+SCHWARZ O.E. INDEX;340
NL0015000F41;LILIUM N.V.  CL.A     EO1;400
US57667L1070;MATCH GR.INC. NEW DL-,001;40
US5951121038;MICRON TECHN. INC. DL-,10;150
US5949181045;MICROSOFT    DL-,00000625;300
DE0008430026;MUENCH.RUECKVERS.VNA O.N.;90
US64110L1061;NETFLIX INC.      DL-,001;23
US67066G1040;NVIDIA CORP.      DL-,001;188
US68620A2033;ORGANOVO HLDGS     DL-,01;300
US69404D1081;PAC.BIOSCI.OF CAL.DL-,001;150
US69608A1088;PALANTIR TECHNOLOGIES INC;500
US70450Y1038;PAYPAL HDGS INC.DL-,0001;170
US7437131094;PROTO LABS INC.   DL-,001;60
US77543R1023;ROKU INC   CL. A DL-,0001;50
US79466L3024;SALESFORCE.COM    DL-,001;70
DE0007164600;SAP SE O.N.;185
DE0007165631;SARTORIUS AG VZO O.N.;90
DE0007276503;SECUNET SECURITY AG O.N.;30
NL0012044747;SHOP APOTHEKE EUROPE INH.;45
CA82509L1076;SHOPIFY A SUB.VTG;15
DE0007236101;SIEMENS AG  NA O.N.;155
LU1778762911;SPOTIFY TECH. S.A.  EUR 1;55
US8522341036;SQUARE INC. A;200
IL0011267213;STRATASYS LTD;200
DE000A2YN900;TEAMVIEWER AG  INH O.N.;150
US87918A1051;TELADOC HEALTH INC.DL-001;305
KYG875721634;TENCENT HLDGS   HD-,00002;250
US88160R1014;TESLA INC. DL -,001;180
US8835561023;THERMO FISH.SCIENTIF.DL 1;40
US90138F1021;TWILIO INC.;12
US90364P1057;UIPATH INC.   A DL-,00001;80
US91332U1016;UNITY SOFTWARE DL-,000005;180
DE000A0TGJ55;VARTA AG O.N.;150
DE000A0BL849;VITA 34 AG NA O.N.;700
DE0007664039;VOLKSWAGEN AG VZO O.N.;55
US98954M2008;ZILLOW GROUP C CAP.DL-,01;80
US98980L1017;ZOOM VIDEO COMM. A -,001;25
